City_clean,Country,quality,area_km2,lat,long,country_code,xborder_country,geog_region,urban_incity,UC_NM_SRC,H75_AREAkm2,H90_AREAkm2,H00_AREAkm2,biome_list,elevavg_m,built75_km2,built90_km2,built00_km2,built15_km2,pop75,pop90,pop00,pop15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX
Turku,Finland,1,34,60.45004137,22.2436126,FIN,Finland,Europe,Turku,GISCO OSM,19,22,22,Temperate Broadleaf and Mixed Forests,18.81002437,8.74901104,8.855430603,8.936944008,9.343930244,82865.7233,93547.92102,101959.0203,112491.9713,105.5805789,94.66197117,87.65231344,83.06308564,0.30881278499999998,0.34378382200000002,0.38297073300000001,9.1222954400000003,22.91997842,1.770254122,33.81252799,19.021453220000001,14.17362773,0.617447038,33.81252799,22.9938489,10.50995556,0.308723519,33.81252799,0.291180728,0.243426014,72.53
Paris,France,1,1638,48.83990462,2.322010194,FRA,France,Europe,Paris; Boulogne-Billancourt; Saint-Denis; Montreuil,GISCO OSM,1494,1539,1620,Temperate Broadleaf and Mixed Forests,75.36288113,983.3168335,1073.917603,1138.132935,1157.587402,7822582.023,8576325.136,8991835.858,9711652.257,125.702336,125.2188537,126.5740337,119.195722,0.281790068,0.40934000799999998,0.43380255699999998,59.438986800000002,425.9182823,111.1073623,596.4646314,649.22086330000002,949.9736818,39.51021463,1638.70476,812.15918429999999,790.3344396,36.21113581,1638.70476,0.60347643399999995,0.2066542,49.58
Florianopolis,Brazil,1,166,-27.59519191,-48.61715306,BRA,Brazil,Latin America and the Caribbean,Florianópolis; São José; Palhoça,GISCO OSM,57,109,137,Tropical and Subtropical Moist Broadleaf Forests,22.03075071,45.54782867,55.30990601,64.99349976,69.71335602,216285.5459,361038.9895,469829.7529,641126.9341,210.5911816,153.1964902,138.3341505,108.7356533,0.38025177300000002,0.40476462699999999,0.36652016999999998,72.673062299999998,69.49279219,22.47332746,162.8733058,76.809726870000006,71.88793761,15.94151747,164.6391819,59.468062969999998,84.65282975,20.51828923,164.6391819,0.40303581999999999,0.168433856,58.01
Brisbane,Australia,1,498,-27.49018691,153.0489651,AUS,Australia,Oceania,Brisbane,GISCO OSM,246,346,416,Temperate Broadleaf and Mixed Forests,33.77232982,216.1330414,274.9660034,296.188446,303.5982361,575068.168,706280.7751,788924.4116,990070.3367,375.8389934,389.3154297,375.4332376,306.6430988,0.40649434000000001,0.43443981999999998,0.41908507900000003,107.15085209999999,382.5153251,6.917174739,496.5833519,154.12295309999999,340.8464576,1.613941239,496.5833519,142.8526761,348.3726422,5.3580336,496.5833519,0.29327585,0.182583439,39.04
Washington D.C.,United States,1,1550,38.9228404,-77.14196317,USA,United States,Northern America,Washington D.C.; Arlington; Alexandria; Silver Spring; Bethesda,GISCO OSM,555,958,1309,Temperate Broadleaf and Mixed Forests,82.24570375,505.1851807,688.5009766,843.9207764,933.114624,2213900.205,2643439.752,2926241.226,3368613.481,228.1878739,260.4564662,288.3975418,277.0025797,0.46418250700000002,0.51359441299999997,0.53326680400000004,9.9999999999999995E-7,6.229936419,1114.622456,1547.463532,9.9999999999999995E-7,0.387658784,1274.249599,1547.463532,9.9999999999999995E-7,4.505249534,1226.844532,1547.463532,1.25406745,0.661223974,39.799999999999997
Sydney,Australia,1,1356,-33.85123993,151.0668102,AUS,Australia,Oceania,Sydney,GISCO OSM,1121,1213,1302,Temperate Broadleaf and Mixed Forests,47.59388959,792.6922607,845.5196533,896.1484985,921.5794678,2171953.992,2672847.744,2986703.794,3745334.888,364.9673352,316.336632,300.0459906,246.0606315,0.39444760899999998,0.43623258599999998,0.42818445599999999,322.45998470000001,969.6834657,60.26699868,1351.998496,495.59007910000003,827.262191,29.55817896,1352.410449,472.88622199999998,837.7757359,41.74849113,1352.410449,0.255323462,0.226006008,34.869999999999997
New Taipei [Taipei],Taiwan,1,1014,25.00684104,121.4128047,TWN,Taiwan,Asia,New Taipei; Taipei; Taoyuan; Keelung,GISCO OSM,718,833,904,Tropical and Subtropical Moist Broadleaf Forests,99.68972076,360.3791809,370.4772949,370.4772949,379.6244202,5122623.318,6913473.608,7843448.27,8873426.902,70.3505135,53.58772101,47.23398207,42.78216571,0.33055225399999999,0.32214119299999999,0.32308048900000003,393.01709790000001,534.7712116,82.29797879,1010.058013,373.19758530000001,590.2497658,46.63893727,1010.086288,410.12117619999998,535.7308268,64.23428539,1010.086288,9.7721648999999994E-2,0.105967594,62.56
Thousand Oaks,United States,1,105,34.18196155,-118.8641047,USA,United States,Northern America,Thousand Oaks,GISCO OSM,0,72,101,"Mediterranean Forests, Woodlands, and Scrub",270.9833126,46.51976395,60.91965103,68.88695526,71.09897614,101866.0387,115187.1432,132072.0357,146356.3494,456.6758907,528.87544,521.5862306,485.7935883,0.31587827800000001,0.36827228099999998,0.34721186199999998,0,104.6186538,0,104.6186538,0.86409622399999997,103.7545576,0,104.6186538,0,104.6186538,0,104.6186538,0.64520251399999995,0.015857006,32.29
Rome,Italy,1,482,41.89715399,12.53231298,ITA,Italy,Europe,Rome,GISCO OSM,427,443,447,"Mediterranean Forests, Woodlands, and Scrub",59.81593308,218.3899384,228.4253693,246.8709106,253.3425903,2194133.199,2276508.888,2275676.042,2342859.759,99.53358278,100.3402053,108.4824492,108.1339117,0.29489182200000003,0.39447435400000003,0.402500892,102.523551,200.1910131,29.75388294,332.468447,241.04418749999999,238.0472957,2.2312245,481.3227077,243.551751,234.7958877,2.975069063,481.3227077,3.6037570890000001,0.165457147,50.53
Vancouver,Canada,1,698,49.2292552,-122.9851417,CAN,Canada,Northern America,Vancouver; Surrey; Burnaby; Richmond; Coquitlam; Port Coquitlam; New Westminster; North Vancouver; West Vancouver; Port Moody,GISCO OSM,474,569,613,Temperate Coniferous Forests,55.29267591,347.827301,382.0600281,413.0094299,438.4719849,961311.7649,1307640.434,1563955.117,2015029.579,361.8256987,292.175141,264.080104,217.6007684,0.41129297399999998,0.44979366399999998,0.43255007099999998,293.62071450000002,337.3580122,66.53385819,695.554151,363.51353920000003,286.4995758,47.49946996,697.512585,310.69363249999998,319.0657706,67.75318193,697.512585,0.318490147,0.312394848,44.51
