id,SR,H,SRsp,Hsp,FDsp,Coversp,SRpl,Hpl,FDpl,Coverpl,Zone,EC,pHKCl,Cnratio,sub_depth,Age,RoofHeigh,surfarea_log,SVF,PROX200,SDH200,HLI,VisitYear,Vegday,Roofname,roofclust
ID24_z1,8,1.563285,4,1.310784,8.979083,3,4,1.158082,0.096246,20.16667,2,0.09,7.44,20.47,5,6,3.12,4.574711,0.857357,8.601,6.787528,0.834667,2015,45,ID24,ID24
ID26_z1,6,1.747868,2,0.693147,2.615167,2,4,1.332179,0.0561,5,2,0.09,6.66,33.94,5,4,13.9652,4.477337,0.803517,224.8534,7.490944,0.768089,2015,60,ID26,C19
ID26_z2,11,0.881571,7,0.532474,1.484659,56,4,1.332179,0.0561,5,1,0.07,7,51.64,5,4,13.9652,4.477337,0.803517,224.8534,7.490944,0.768089,2015,60,ID26,C19
ID26_z3,14,2.599302,10,2.302585,8.270809,10,4,1.329661,0.061522,6,3,0.09,6.55,29.72,5,4,13.9652,4.477337,0.803517,224.8534,7.490944,0.768089,2015,60,ID26,C19
ID27_z1,6,0.864764,1,0,0,1,5,0.768851,0.034688,40,2,0.07,7.26,13.05,5,1,4.74347,4.997212,0.37128,24.519,7.254697,0.816725,2015,40,ID27,ID27
ID27_z2,10,1.157405,5,1.386294,5.950562,4,5,0.815029,0.036671,42.5,1,0.08,7.13,13.67,5,1,4.74347,4.997212,0.37128,24.519,7.254697,0.816725,2015,40,ID27,ID27
ID30_z1,4,0.904179,0,0,NA,0,4,0.904179,0.04874,33.6875,2,0.19,6.83,15.24,2,14,22.31472,6.214608,0.768512,NA,8.174283,0.831407,2015,4,ID30,C9
ID32_z1,12,1.282776,4,1.386294,5.780737,0.5,8,1.179779,0.063753,24.25,2,0.125714,7.264286,11.92,6,15,5.10162,6.684612,0.901992,11.6912,5.310106,0.787726,2015,108,ID32,ID32
ID33_z1,7,1.118422,3,1.078992,4.987683,2.333333,4,0.880821,0.053528,36.83333,2,0.07,6.45,13.98,4,4,9.76835,3.583519,0.784482,19.9156,4.855658,0.835648,2015,108,ID33,ID33
ID33_z2,11,0.829819,7,1.820076,5.874326,4,4,0.57631,0.032965,78.83333,1,0.09,5.75,14.88,8,14,9.76835,4.912655,0.784482,19.9156,4.855658,0.835648,2015,108,ID33,ID33
ID38_z1,8,0.85319,4,1.386294,4.130145,4,4,0.40451,0.014064,33,2,0.08,6.05,21.23,4,5,3.95,3.583519,0.747234,34.2665,4.048352,0.844801,2016,79,ID38,ID38
ID38_z2,14,1.120582,9,2.029155,6.861703,9,5,0.453068,0.016979,50,1,0.09,6.475,17.49,4,5,3.95,5.046646,0.747234,34.2665,4.048352,0.844801,2016,79,ID38,ID38
ID39_z1,5,1.313426,0,0,NA,0,5,1.313426,0.06056,13.5,2,0.07,7.1,14,4,2,NA,5.616771,NA,NA,NA,NA,2015,102,ID39,ID39
ID39_z2,6,1.295518,0,0,NA,0,6,1.295518,0.055493,7.625,1,0.09,6.79,14.28,4,2,NA,5.616771,NA,NA,NA,NA,2015,102,ID39,ID39
ID40_z1,16,0.803886,13,2.50529,6.214985,9,3,0.128083,0.007202,62.75,2,0.305,6.295,11,6,4,4.11468,4.60517,0.745488,8.4393,5.531746,0.843265,2016,64,ID40,ID40
ID40_z2,15,1.399446,13,1.113644,2.728462,52,2,0.134223,0.004393,33.5,1,0.33,6.63,10.45,6,4,4.11468,4.60517,0.745488,8.4393,5.531746,0.843265,2016,64,ID40,ID40
ID54_z1,18,1.431914,11,1.131493,1.409886,110,7,1.906155,0.198854,8,2,0.14,6.49,18.32,10,2,2.17,3.091042,0.526704,4.2442,5.086655,0.475654,2016,65,ID54,ID54
ID60_z1,5,0.292782,0,0,NA,0,5,0.292782,0.009934,53,2,0.08,6.88,17.56,5,6,19.54685,4.007333,0.817003,22.1473,11.44863,0.842262,2015,87,ID60,C13
ID61_z1,7,1.723469,0,0,NA,0,7,1.723469,0.087826,8,2,0.06,7.13,18.29,6,6,6.43747,4.60517,0.642349,18.7804,11.63341,0.845407,2015,87,ID61,C13
